age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
0,2,1,7,4,6,3,2,1,0,0,2,38
0,2,11,9,2,4,0,4,1,0,0,2,38
0,1,7,12,2,10,0,4,1,0,0,2,38
1,2,15,10,2,6,0,2,1,4,0,2,38
0,2,0,6,4,7,1,4,1,0,0,1,38
2,4,14,15,2,9,0,4,1,4,0,1,38
0,2,15,10,4,7,4,4,0,0,0,2,38
1,2,5,4,2,2,0,4,1,0,0,0,38
2,2,11,9,2,6,0,4,1,4,0,2,38
0,0,9,13,2,0,0,4,1,0,0,2,38
0,2,11,9,4,0,1,4,0,0,0,1,38
1,2,11,9,2,6,0,4,1,4,0,2,38
1,2,12,14,2,3,0,4,1,0,0,2,38
0,5,15,10,4,7,3,4,1,0,0,1,38
1,2,11,9,2,0,5,4,0,0,0,1,38
0,2,11,9,6,6,4,4,0,0,0,1,38
0,2,9,13,2,12,0,4,1,0,0,2,38
0,2,15,10,4,7,3,2,0,0,0,1,38
0,2,9,13,4,9,1,4,1,0,0,2,28
0,2,9,13,2,9,0,4,1,0,0,2,38
1,4,11,9,2,2,0,4,1,4,0,4,38
0,2,11,9,4,0,3,4,1,0,0,1,38
0,2,11,9,5,6,4,2,1,0,0,2,38
1,2,11,9,2,2,0,4,1,0,0,1,38
0,4,15,10,4,9,1,4,1,0,0,3,38
1,5,15,10,2,3,0,2,1,4,0,1,38
1,4,1,7,6,7,4,4,0,0,0,2,38
0,4,9,13,4,11,1,4,1,0,0,2,38
0,1,15,10,2,10,0,4,1,0,0,2,38
0,2,11,9,0,3,4,4,0,0,0,2,38
0,1,9,13,2,9,0,4,1,0,0,2,38
0,2,4,3,4,8,1,4,1,0,0,2,12
0,2,0,6,4,6,1,4,1,0,0,2,38
0,2,11,9,4,2,3,4,1,0,0,2,38
2,2,12,14,2,9,0,4,1,0,0,2,38
1,3,8,11,2,11,0,4,1,0,0,2,38
0,2,11,9,2,4,0,4,1,0,0,2,38
0,2,1,7,2,7,0,4,1,0,0,2,38
0,5,15,10,4,4,3,4,1,0,0,1,38
0,2,8,11,2,9,5,4,0,0,0,1,38
0,2,5,4,2,2,0,4,1,0,0,2,25
1,2,15,10,2,13,0,4,1,4,0,2,38
1,2,1,7,5,8,1,2,0,0,0,0,38
1,3,11,9,6,3,1,4,0,0,0,2,38
0,2,15,10,4,7,3,4,1,0,0,1,38
0,2,11,9,0,5,3,2,1,0,0,2,38
0,2,15,10,4,7,3,4,0,0,3,1,38
0,2,11,9,4,7,1,4,1,4,0,3,38
0,2,6,5,3,3,1,4,1,0,0,2,25
0,2,15,10,4,0,3,4,0,0,0,2,38
2,2,11,9,2,2,0,4,1,0,0,2,38
0,1,9,13,2,3,0,4,1,4,0,2,38
1,3,11,9,2,3,0,4,1,4,0,2,38
0,2,11,9,2,5,0,4,1,0,0,2,38
0,2,9,13,4,3,1,4,0,0,0,2,38
0,2,15,10,0,11,1,4,1,0,0,2,38
0,2,12,14,4,3,1,4,0,0,0,2,38
0,2,11,9,4,6,3,4,0,0,0,2,38
1,1,11,9,0,0,1,4,0,0,0,2,38
1,3,7,12,2,2,0,4,1,4,0,3,38
0,2,15,10,4,7,3,4,1,0,0,1,38
1,2,11,9,5,13,1,4,1,0,0,2,38
1,2,11,9,2,11,0,4,1,0,0,2,38
